18.0	8	307.0	130.0	3504.	12.0	70	1	"chevrolet chevelle malibu"
15.0	8	350.0	165.0	3693.	11.5	70	1	"buick skylark 320"
18.0	8	318.0	150.0	3436.	11.0	70	1	"plymouth satellite"
16.0	8	304.0	150.0	3433.	12.0	70	1	"amc rebel sst"
17.0	8	302.0	140.0	3449.	10.5	70	1	"ford torino"
15.0	8	429.0	198.0	4341.	10.0	70	1	"ford galaxie 500"
14.0	8	454.0	220.0	4354.	 9.0	70	1	"chevrolet impala"
14.0	8	440.0	215.0	4312.	 8.5	70	1	"plymouth fury iii"
14.0	8	455.0	225.0	4425.	10.0	70	1	"pontiac catalina"
15.0	8	390.0	190.0	3850.	 8.5	70	1	"amc ambassador dpl"
15.0	8	383.0	170.0	3563.	10.0	70	1	"dodge challenger se"
14.0	8	340.0	160.0	3609.	 8.0	70	1	"plymouth 'cuda 340"
15.0	8	400.0	150.0	3761.	 9.5	70	1	"chevrolet monte carlo"
14.0	8	455.0	225.0	3086.	10.0	70	1	"buick estate wagon (sw)"
24.0	4	113.0	95.00	2372.	15.0	70	3	"toyota corona mark ii"
22.0	6	198.0	95.00	2833.	15.5	70	1	"plymouth duster"
18.0	6	199.0	97.00	2774.	15.5	70	1	"amc hornet"
21.0	6	200.0	85.00	2587.	16.0	70	1	"ford maverick"
27.0	4	97.00	88.00	2130.	14.5	70	3	"datsun pl510"
26.0	4	97.00	46.00	1835.	20.5	70	2	"volkswagen 1131 deluxe sedan"
25.0	4	110.0	87.00	2672.	17.5	70	2	"peugeot 504"
24.0	4	107.0	90.00	2430.	14.5	70	2	"audi 100 ls"
25.0	4	104.0	95.00	2375.	17.5	70	2	"saab 99e"
26.0	4	121.0	113.0	2234.	12.5	70	2	"bmw 2002"
21.0	6	199.0	90.00	2648.	15.0	70	1	"amc gremlin"
10.0	8	360.0	215.0	4615.	14.0	70	1	"ford f250"
10.0	8	307.0	200.0	4376.	15.0	70	1	"chevy c20"
11.0	8	318.0	210.0	4382.	13.5	70	1	"dodge d200"
9.0	8	304.0	193.0	4732.	18.5	70	1	"hi 1200d"
27.0	4	97.00	88.00	2130.	14.5	71	3	"datsun pl510"
28.0	4	140.0	90.00	2264.	15.5	71	1	"chevrolet vega 2300"
25.0	4	113.0	95.00	2228.	14.0	71	3	"toyota corona"
25.0	4	98.00	101.0	2046.	19.0	71	1	"ford pinto"
19.0	6	232.0	100.0	2634.	13.0	71	1	"amc gremlin"
16.0	6	225.0	105.0	3439.	15.5	71	1	"plymouth satellite custom"
17.0	6	250.0	100.0	3329.	15.5	71	1	"chevrolet chevelle malibu"
19.0	6	250.0	88.00	3302.	15.5	71	1	"ford torino 500"
18.0	6	232.0	100.0	3288.	15.5	71	1	"amc matador"
14.0	8	350.0	165.0	4209.	12.0	71	1	"chevrolet impala"
14.0	8	400.0	175.0	4464.	11.5	71	1	"pontiac catalina brougham"
14.0	8	351.0	153.0	4154.	13.5	71	1	"ford galaxie 500"
14.0	8	318.0	150.0	4096.	13.0	71	1	"plymouth fury iii"
12.0	8	383.0	180.0	4955.	11.5	71	1	"dodge monaco (sw)"
13.0	8	400.0	170.0	4746.	12.0	71	1	"ford country squire (sw)"
13.0	8	400.0	175.0	5140.	12.0	71	1	"pontiac safari (sw)"
18.0	6	258.0	110.0	2962.	13.5	71	1	"amc hornet sportabout (sw)"
22.0	4	140.0	72.00	2408.	19.0	71	1	"chevrolet vega (sw)"
19.0	6	250.0	100.0	3282.	15.0	71	1	"pontiac firebird"
18.0	6	250.0	88.00	3139.	14.5	71	1	"ford mustang"
23.0	4	122.0	86.00	2220.	14.0	71	1	"mercury capri 2000"
28.0	4	116.0	90.00	2123.	14.0	71	2	"opel 1900"
30.0	4	79.00	70.00	2074.	19.5	71	2	"peugeot 304"
